Team_1,Team_2,Winner,Margin,Ground,Match Date,Bat first,Pitch Advantage,Home Advantage
Sri Lanka,Pakistan,Sri Lanka,165 runs,Hambantota,"Jul 26, 2015",Sri Lanka,Batting,Sri Lanka
Zimbabwe,New Zealand,Zimbabwe,7 wickets,Harare,"Aug 2, 2015",New Zealand,Balanced,Zimbabwe
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Aug 4, 2015",Zimbabwe,Balanced,Zimbabwe
Zimbabwe,New Zealand,New Zealand,38 runs,Harare,"Aug 7, 2015",New Zealand,Balanced,Zimbabwe
South Africa,New Zealand,South Africa,20 runs,Centurion,"Aug 19, 2015",South Africa,Batting,South Africa
South Africa,New Zealand,New Zealand,8 wickets,Potchefstroom,"Aug 23, 2015",South Africa,Batting,South Africa
South Africa,New Zealand,South Africa,62 runs,Durban,"Aug 26, 2015",South Africa,Batting,South Africa
Ireland,Australia,Australia,23 runs,Belfast,"Aug 27, 2015",Australia,Balanced,Northern Ireland (United Kingdom)
England,Australia,Australia,59 runs,Southampton,"Sep 3, 2015",Australia,Balanced,England (United Kingdom)
England,Australia,Australia,64 runs,Lord's,"Sep 5, 2015",Australia,Balanced,England (United Kingdom)
England,Australia,England,93 runs,Manchester,"Sep 8, 2015",England,Bowling,England (United Kingdom)
England,Australia,England,3 wickets,Leeds,"Sep 11, 2015",Australia,Balanced,England (United Kingdom)
England,Australia,Australia,8 wickets,Manchester,"Sep 13, 2015",England,Bowling,England (United Kingdom)
Zimbabwe,Pakistan,Pakistan,131 runs,Harare,"Oct 1, 2015",Pakistan,Balanced,Zimbabwe
Zimbabwe,Pakistan,Zimbabwe,5 runs,Harare,"Oct 3, 2015",Zimbabwe,Balanced,Zimbabwe
Zimbabwe,Pakistan,Pakistan,7 wickets,Harare,"Oct 5, 2015",Zimbabwe,Balanced,Zimbabwe
Zimbabwe,Ireland,Zimbabwe,2 wickets,Harare,"Oct 9, 2015",Ireland,Balanced,Zimbabwe
India,South Africa,South Africa,5 runs,Kanpur,"Oct 11, 2015",South Africa,Balanced,India
Zimbabwe,Ireland,Zimbabwe,5 wickets,Harare,"Oct 11, 2015",Ireland,Balanced,Zimbabwe
Zimbabwe,Ireland,Ireland,2 wickets,Harare,"Oct 13, 2015",Zimbabwe,Balanced,Zimbabwe
India,South Africa,India,22 runs,Indore,"Oct 14, 2015",India,Balanced,India
Zimbabwe,Afghanistan,Zimbabwe,8 wickets,Bulawayo,"Oct 16, 2015",Afghanistan,Batting,Zimbabwe
Zimbabwe,Afghanistan,Afghanistan,58 runs,Bulawayo,"Oct 18, 2015",Afghanistan,Batting,Zimbabwe
India,South Africa,South Africa,18 runs,Rajkot,"Oct 18, 2015",South Africa,Balanced,India
Zimbabwe,Afghanistan,Zimbabwe,6 wickets,Bulawayo,"Oct 20, 2015",Afghanistan,Batting,Zimbabwe
Zimbabwe,Afghanistan,Afghanistan,3 wickets,Bulawayo,"Oct 22, 2015",Zimbabwe,Batting,Zimbabwe
India,South Africa,India,35 runs,Chennai,"Oct 22, 2015",India,Bowling,India
Zimbabwe,Afghanistan,Afghanistan,73 runs,Bulawayo,"Oct 24, 2015",Afghanistan,Batting,Zimbabwe
India,South Africa,South Africa,214 runs,Wankhede,"Oct 25, 2015",South Africa,Balanced,India
Sri Lanka,West Indies,Sri Lanka,1 wicket,Colombo (RPS),"Nov 1, 2015",West Indies,Batting,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,8 wickets,Colombo (RPS),"Nov 4, 2015",West Indies,Batting,Sri Lanka
Bangladesh,Zimbabwe,Bangladesh,145 runs,Mirpur,"Nov 7, 2015",Bangladesh,Batting,Bangladesh
Sri Lanka,West Indies,Sri Lanka,19 runs,Pallekele,"Nov 7, 2015",Sri Lanka,Batting,Sri Lanka
Bangladesh,Zimbabwe,Bangladesh,58 runs,Mirpur,"Nov 9, 2015",Bangladesh,Batting,Bangladesh
Bangladesh,Zimbabwe,Bangladesh,61 runs,Mirpur,"Nov 11, 2015",Bangladesh,Batting,Bangladesh
England,Pakistan,Pakistan,6 wickets,Abu Dhabi,"Nov 11, 2015",England,Bowling,United Arab Emirates (UAE)
England,Pakistan,England,95 runs,Abu Dhabi,"Nov 13, 2015",England,Bowling,United Arab Emirates (UAE)
U.A.E.,Hong Kong,Hong Kong,89 runs,ICCA Dubai,"Nov 16, 2015",Hong Kong,Balanced,United Arab Emirates (UAE)
England,Pakistan,England,6 wickets,Sharjah,"Nov 17, 2015",Pakistan,Batting,United Arab Emirates (UAE)
U.A.E.,Hong Kong,Hong Kong,136 runs,ICCA Dubai,"Nov 18, 2015",Hong Kong,Balanced,United Arab Emirates (UAE)
England,Pakistan,England,84 runs,Dubai (DSC),"Nov 20, 2015",England,Balanced,United Arab Emirates (UAE)
Afghanistan,Zimbabwe,Afghanistan,49 runs,Sharjah,"Dec 25, 2015",Afghanistan,Batting,United Arab Emirates (UAE)
New Zealand,Sri Lanka,New Zealand,7 wickets,Christchurch,"Dec 26, 2015",Sri Lanka,Balanced,New Zealand
New Zealand,Sri Lanka,New Zealand,10 wickets,Christchurch,"Dec 28, 2015",Sri Lanka,Balanced,New Zealand
Afghanistan,Zimbabwe,Afghanistan,4 wickets,Sharjah,"Dec 29, 2015",Zimbabwe,Batting,United Arab Emirates (UAE)
New Zealand,Sri Lanka,Sri Lanka,8 wickets,Nelson,"Dec 31, 2015",New Zealand,Balanced,New Zealand
New Zealand,Sri Lanka,0,-,Nelson,"Jan 2, 2016",Sri Lanka,Balanced,New Zealand
Afghanistan,Zimbabwe,Zimbabwe,117 runs,Sharjah,"Jan 2, 2016",Zimbabwe,Batting,United Arab Emirates (UAE)
Afghanistan,Zimbabwe,Zimbabwe,65 runs,Sharjah,"Jan 4, 2016",Zimbabwe,Batting,United Arab Emirates (UAE)
New Zealand,Sri Lanka,New Zealand,36 runs,Mount Maunganui,"Jan 5, 2016",New Zealand,Balanced,New Zealand
Afghanistan,Zimbabwe,Afghanistan,2 wickets,Sharjah,"Jan 6, 2016",Zimbabwe,Batting,United Arab Emirates (UAE)
Australia,India,Australia,5 wickets,Perth,"Jan 12, 2016",India,Balanced,Australia
Australia,India,Australia,7 wickets,Brisbane,"Jan 15, 2016",India,Batting,Australia
Australia,India,Australia,3 wickets,Melbourne,"Jan 17, 2016",India,Balanced,Australia
Australia,India,Australia,25 runs,Canberra,"Jan 20, 2016",Australia,Balanced,Australia
Australia,India,India,6 wickets,Sydney,"Jan 23, 2016",Australia,Balanced,Australia
New Zealand,Pakistan,New Zealand,70 runs,Wellington,"Jan 25, 2016",New Zealand,Balanced,New Zealand
Hong Kong,Scotland,Hong Kong,109 runs,Mong Kok,"Jan 26, 2016",Hong Kong,Balanced,Hong Kong
New Zealand,Pakistan,New Zealand,3 wickets,Auckland,"Jan 31, 2016",Pakistan,Batting,New Zealand
New Zealand,Australia,New Zealand,159 runs,Auckland,"Feb 3, 2016",New Zealand,Batting,New Zealand
South Africa,England,England,39 runs,Bloemfontein,"Feb 3, 2016",England,Batting,South Africa
New Zealand,Australia,Australia,4 wickets,Wellington,"Feb 6, 2016",New Zealand,Balanced,New Zealand
South Africa,England,England,5 wickets,Gqeberha,"Feb 6, 2016",South Africa,Balanced,South Africa
New Zealand,Australia,New Zealand,55 runs,Hamilton,"Feb 8, 2016",New Zealand,Balanced,New Zealand
South Africa,England,South Africa,7 wickets,Centurion,"Feb 9, 2016",England,Batting,South Africa
South Africa,England,South Africa,1 wicket,Johannesburg,"Feb 12, 2016",England,Batting,South Africa
South Africa,England,South Africa,5 wickets,Cape Town,"Feb 14, 2016",England,Bowling,South Africa
West Indies,South Africa,West Indies,4 wickets,Providence,"Jun 3, 2016",South Africa,Batting,Guyana
West Indies,Australia,Australia,6 wickets,Providence,"Jun 5, 2016",West Indies,Batting,Guyana
Australia,South Africa,South Africa,47 runs,Providence,"Jun 7, 2016",South Africa,Batting,Guyana
Zimbabwe,India,India,9 wickets,Harare,"Jun 11, 2016",Zimbabwe,Balanced,Zimbabwe
Australia,South Africa,Australia,36 runs,Basseterre,"Jun 11, 2016",Australia,Batting,Saint Kitts and Nevis
Zimbabwe,India,India,8 wickets,Harare,"Jun 13, 2016",Zimbabwe,Balanced,Zimbabwe
West Indies,Australia,West Indies,4 wickets,Basseterre,"Jun 13, 2016",Australia,Batting,Saint Kitts and Nevis
Zimbabwe,India,India,10 wickets,Harare,"Jun 15, 2016",Zimbabwe,Balanced,Zimbabwe
West Indies,South Africa,South Africa,139 runs,Basseterre,"Jun 15, 2016",South Africa,Batting,Saint Kitts and Nevis
Ireland,Sri Lanka,Sri Lanka,76 runs,Dublin (Malahide),"Jun 16, 2016",Sri Lanka,Balanced,Ireland
Ireland,Sri Lanka,Sri Lanka,136 runs,Dublin (Malahide),"Jun 18, 2016",Sri Lanka,Balanced,Ireland
Australia,South Africa,0,-,Bridgetown,"Jun 19, 2016",South Africa,Balanced,Barbados
England,Sri Lanka,0,-,Nottingham,"Jun 21, 2016",Sri Lanka,Balanced,England (United Kingdom)
West Indies,Australia,Australia,6 wickets,Bridgetown,"Jun 21, 2016",West Indies,Balanced,Barbados
England,Sri Lanka,England,10 wickets,Birmingham,"Jun 24, 2016",Sri Lanka,Balanced,England (United Kingdom)
West Indies,South Africa,West Indies,100 runs,Bridgetown,"Jun 24, 2016",West Indies,Balanced,Barbados
England,Sri Lanka,0,-,Bristol,"Jun 26, 2016",Sri Lanka,Balanced,England (United Kingdom)
West Indies,Australia,Australia,58 runs,Bridgetown,"Jun 26, 2016",Australia,Balanced,Barbados
England,Sri Lanka,England,6 wickets,The Oval,"Jun 29, 2016",Sri Lanka,Balanced,England (United Kingdom)
England,Sri Lanka,England,122 runs,Cardiff,"Jul 2, 2016",England,Balanced,Wales (United Kingdom)
Scotland,Afghanistan,0,-,Edinburgh,"Jul 4, 2016",Afghanistan,Bowling,Scotland (United Kingdom)
Scotland,Afghanistan,Afghanistan,78 runs,Edinburgh,"Jul 6, 2016",Afghanistan,Bowling,Scotland (United Kingdom)
Ireland,Afghanistan,Afghanistan,39 runs,Belfast,"Jul 12, 2016",Afghanistan,Balanced,Northern Ireland (United Kingdom)
Ireland,Afghanistan,Ireland,6 wickets,Belfast,"Jul 14, 2016",Afghanistan,Balanced,Northern Ireland (United Kingdom)
Ireland,Afghanistan,Afghanistan,79 runs,Belfast,"Jul 17, 2016",Afghanistan,Balanced,Northern Ireland (United Kingdom)
Ireland,Afghanistan,Ireland,12 runs,Belfast,"Jul 19, 2016",Ireland,Balanced,Northern Ireland (United Kingdom)
Scotland,U.A.E.,Scotland,98 runs,Edinburgh,"Aug 14, 2016",Scotland,Bowling,Scotland (United Kingdom)
Scotland,U.A.E.,Scotland,7 wickets,Edinburgh,"Aug 16, 2016",U.A.E.,Bowling,Scotland (United Kingdom)
Ireland,Pakistan,Pakistan,255 runs,Dublin (Malahide),"Aug 18, 2016",Pakistan,Balanced,Ireland
Sri Lanka,Australia,Australia,3 wickets,Colombo (RPS),"Aug 21, 2016",Sri Lanka,Batting,Sri Lanka
Sri Lanka,Australia,Sri Lanka,82 runs,Colombo (RPS),"Aug 24, 2016",Sri Lanka,Batting,Sri Lanka
England,Pakistan,England,44 runs,Southampton,"Aug 24, 2016",England,Balanced,England (United Kingdom)
England,Pakistan,England,4 wickets,Lord's,"Aug 27, 2016",Pakistan,Balanced,England (United Kingdom)
Sri Lanka,Australia,Australia,2 wickets,Dambulla,"Aug 28, 2016",Sri Lanka,Balanced,Sri Lanka
England,Pakistan,England,169 runs,Nottingham,"Aug 30, 2016",England,Balanced,England (United Kingdom)
Sri Lanka,Australia,Australia,6 wickets,Dambulla,"Aug 31, 2016",Sri Lanka,Balanced,Sri Lanka
England,Pakistan,England,4 wickets,Leeds,"Sep 1, 2016",Pakistan,Balanced,England (United Kingdom)
Sri Lanka,Australia,Australia,5 wickets,Pallekele,"Sep 4, 2016",Sri Lanka,Batting,Sri Lanka
England,Pakistan,Pakistan,4 wickets,Cardiff,"Sep 4, 2016",England,Balanced,Wales (United Kingdom)
Scotland,Hong Kong,0,-,Edinburgh,"Sep 8, 2016",Hong Kong,Bowling,Scotland (United Kingdom)
Scotland,Hong Kong,Scotland,53 runs,Edinburgh,"Sep 10, 2016",Scotland,Bowling,Scotland (United Kingdom)
South Africa,Ireland,South Africa,206 runs,Benoni,"Sep 25, 2016",South Africa,Balanced,South Africa
Bangladesh,Afghanistan,Bangladesh,7 runs,Mirpur,"Sep 25, 2016",Bangladesh,Batting,Bangladesh
Australia,Ireland,Australia,9 wickets,Benoni,"Sep 27, 2016",Ireland,Balanced,South Africa
Bangladesh,Afghanistan,Afghanistan,2 wickets,Mirpur,"Sep 28, 2016",Bangladesh,Batting,Bangladesh
Pakistan,West Indies,Pakistan,111 runs,Sharjah,"Sep 30, 2016",Pakistan,Batting,United Arab Emirates (UAE)
South Africa,Australia,South Africa,6 wickets,Centurion,"Sep 30, 2016",Australia,Batting,South Africa
Bangladesh,Afghanistan,Bangladesh,141 runs,Mirpur,"Oct 1, 2016",Bangladesh,Batting,Bangladesh
South Africa,Australia,South Africa,142 runs,Johannesburg,"Oct 2, 2016",South Africa,Batting,South Africa
Pakistan,West Indies,Pakistan,59 runs,Sharjah,"Oct 2, 2016",Pakistan,Batting,United Arab Emirates (UAE)
Pakistan,West Indies,Pakistan,136 runs,Abu Dhabi,"Oct 5, 2016",Pakistan,Bowling,United Arab Emirates (UAE)
South Africa,Australia,South Africa,4 wickets,Durban,"Oct 5, 2016",Australia,Batting,South Africa
Bangladesh,England,England,21 runs,Mirpur,"Oct 7, 2016",England,Batting,Bangladesh
South Africa,Australia,South Africa,6 wickets,Gqeberha,"Oct 9, 2016",Australia,Balanced,South Africa
Bangladesh,England,Bangladesh,34 runs,Mirpur,"Oct 9, 2016",Bangladesh,Batting,Bangladesh
Bangladesh,England,England,4 wickets,Chattogram,"Oct 12, 2016",Bangladesh,Batting,Bangladesh
South Africa,Australia,South Africa,31 runs,Cape Town,"Oct 12, 2016",South Africa,Bowling,South Africa
India,New Zealand,India,6 wickets,Dharamsala,"Oct 16, 2016",New Zealand,Bowling,India
India,New Zealand,New Zealand,6 runs,Delhi,"Oct 20, 2016",New Zealand,Batting,India
India,New Zealand,India,7 wickets,Mohali,"Oct 23, 2016",New Zealand,Batting,India
India,New Zealand,New Zealand,19 runs,Ranchi,"Oct 26, 2016",New Zealand,Balanced,India
India,New Zealand,India,190 runs,Visakhapatnam,"Oct 29, 2016",India,Balanced,India
Hong Kong,P.N.G.,Hong Kong,106 runs,Mong Kok,"Nov 4, 2016",Hong Kong,Balanced,Hong Kong
Hong Kong,P.N.G.,P.N.G.,14 runs,Mong Kok,"Nov 6, 2016",P.N.G.,Balanced,Hong Kong
Hong Kong,P.N.G.,Hong Kong,7 wickets,Mong Kok,"Nov 8, 2016",P.N.G.,Balanced,Hong Kong
Zimbabwe,Sri Lanka,Sri Lanka,8 wickets,Harare,"Nov 14, 2016",Zimbabwe,Balanced,Zimbabwe
Sri Lanka,West Indies,West Indies,62 runs,Harare,"Nov 16, 2016",West Indies,Balanced,Zimbabwe
Zimbabwe,West Indies,0,-,Bulawayo,"Nov 19, 2016",West Indies,Batting,Zimbabwe
Zimbabwe,Sri Lanka,0,-,Bulawayo,"Nov 21, 2016",Sri Lanka,Batting,Zimbabwe
Sri Lanka,West Indies,Sri Lanka,1 run,Bulawayo,"Nov 23, 2016",West Indies,Batting,Zimbabwe
Zimbabwe,West Indies,Zimbabwe,5 runs,Bulawayo,"Nov 25, 2016",Zimbabwe,Batting,Zimbabwe
Zimbabwe,Sri Lanka,Sri Lanka,6 wickets,Bulawayo,"Nov 27, 2016",Zimbabwe,Batting,Zimbabwe
Australia,New Zealand,Australia,68 runs,Sydney,"Dec 4, 2016",Australia,Balanced,Australia
Australia,New Zealand,Australia,116 runs,Canberra,"Dec 6, 2016",Australia,Balanced,Australia
Australia,New Zealand,Australia,117 runs,Melbourne,"Dec 9, 2016",Australia,Balanced,Australia
New Zealand,Bangladesh,New Zealand,77 runs,Christchurch,"Dec 26, 2016",New Zealand,Balanced,New Zealand
New Zealand,Bangladesh,New Zealand,67 runs,Nelson,"Dec 29, 2016",New Zealand,Balanced,New Zealand
New Zealand,Bangladesh,New Zealand,8 wickets,Nelson,"Dec 31, 2016",Bangladesh,Balanced,New Zealand
Australia,Pakistan,Australia,92 runs,Brisbane,"Jan 13, 2017",Australia,Batting,Australia
Australia,Pakistan,Pakistan,6 wickets,Melbourne,"Jan 15, 2017",Australia,Balanced,Australia
India,England,India,3 wickets,Pune,"Jan 15, 2017",England,Balanced,India
Australia,Pakistan,Australia,7 wickets,Perth,"Jan 19, 2017",Pakistan,Balanced,Australia
India,England,India,15 runs,Cuttack,"Jan 19, 2017",India,Balanced,India
Australia,Pakistan,Australia,86 runs,Sydney,"Jan 22, 2017",Australia,Balanced,Australia
Hong Kong,Scotland,Hong Kong,7 wickets,Abu Dhabi,"Jan 22, 2017",Scotland,Bowling,United Arab Emirates (UAE)
India,England,England,5 runs,Eden Gardens,"Jan 22, 2017",England,Balanced,India
U.A.E.,Scotland,U.A.E.,4 wickets,Dubai (DSC),"Jan 24, 2017",Scotland,Balanced,United Arab Emirates (UAE)
Australia,Pakistan,Australia,57 runs,Adelaide,"Jan 26, 2017",Australia,Balanced,Australia
U.A.E.,Hong Kong,U.A.E.,6 wickets,Dubai (DSC),"Jan 26, 2017",Hong Kong,Balanced,United Arab Emirates (UAE)
South Africa,Sri Lanka,South Africa,8 wickets,Gqeberha,"Jan 28, 2017",Sri Lanka,Balanced,South Africa
New Zealand,Australia,New Zealand,6 runs,Auckland,"Jan 30, 2017",New Zealand,Batting,New Zealand
South Africa,Sri Lanka,South Africa,121 runs,Durban,"Feb 1, 2017",South Africa,Batting,South Africa
South Africa,Sri Lanka,South Africa,7 wickets,Johannesburg,"Feb 4, 2017",Sri Lanka,Batting,South Africa
New Zealand,Australia,New Zealand,24 runs,Hamilton,"Feb 5, 2017",New Zealand,Balanced,New Zealand
South Africa,Sri Lanka,South Africa,40 runs,Cape Town,"Feb 7, 2017",South Africa,Bowling,South Africa
South Africa,Sri Lanka,South Africa,88 runs,Centurion,"Feb 10, 2017",South Africa,Batting,South Africa
Zimbabwe,Afghanistan,Afghanistan,12 runs,Harare,"Feb 16, 2017",Afghanistan,Balanced,Zimbabwe
New Zealand,South Africa,South Africa,4 wickets,Hamilton,"Feb 19, 2017",New Zealand,Balanced,New Zealand
Zimbabwe,Afghanistan,Afghanistan,54 runs,Harare,"Feb 19, 2017",Afghanistan,Balanced,Zimbabwe
Zimbabwe,Afghanistan,Zimbabwe,3 runs,Harare,"Feb 21, 2017",Zimbabwe,Balanced,Zimbabwe
New Zealand,South Africa,New Zealand,6 runs,Christchurch,"Feb 22, 2017",New Zealand,Balanced,New Zealand
Zimbabwe,Afghanistan,Zimbabwe,7 wickets,Harare,"Feb 24, 2017",Afghanistan,Balanced,Zimbabwe
New Zealand,South Africa,South Africa,159 runs,Wellington,"Feb 25, 2017",South Africa,Balanced,New Zealand
Zimbabwe,Afghanistan,Afghanistan,106 runs,Harare,"Feb 26, 2017",Afghanistan,Balanced,Zimbabwe
New Zealand,South Africa,New Zealand,7 wickets,Hamilton,"Mar 1, 2017",South Africa,Balanced,New Zealand
U.A.E.,Ireland,Ireland,85 runs,ICCA Dubai,"Mar 2, 2017",Ireland,Balanced,United Arab Emirates (UAE)
West Indies,England,England,45 runs,North Sound,"Mar 3, 2017",England,Batting,Antigua and Barbuda
New Zealand,South Africa,South Africa,6 wickets,Auckland,"Mar 4, 2017",New Zealand,Batting,New Zealand
U.A.E.,Ireland,Ireland,8 wickets,ICCA Dubai,"Mar 4, 2017",U.A.E.,Balanced,United Arab Emirates (UAE)
West Indies,England,England,4 wickets,North Sound,"Mar 5, 2017",West Indies,Batting,Antigua and Barbuda
West Indies,England,England,186 runs,Bridgetown,"Mar 9, 2017",England,Balanced,Barbados
Afghanistan,Ireland,Afghanistan,30 runs,Greater Noida,"Mar 15, 2017",Afghanistan,Balanced,India
Afghanistan,Ireland,Afghanistan,34 runs,Greater Noida,"Mar 17, 2017",Afghanistan,Balanced,India
Afghanistan,Ireland,Ireland,6 wickets,Greater Noida,"Mar 19, 2017",Afghanistan,Balanced,India
Afghanistan,Ireland,Ireland,3 wickets,Greater Noida,"Mar 22, 2017",Afghanistan,Balanced,India
Afghanistan,Ireland,Afghanistan,7 wickets,Greater Noida,"Mar 24, 2017",Ireland,Balanced,India
Sri Lanka,Bangladesh,Bangladesh,90 runs,Dambulla,"Mar 25, 2017",Bangladesh,Balanced,Sri Lanka
Sri Lanka,Bangladesh,0,-,Dambulla,"Mar 28, 2017",Bangladesh,Balanced,Sri Lanka
U.A.E.,P.N.G.,U.A.E.,82 runs,Abu Dhabi,"Mar 31, 2017",U.A.E.,Bowling,United Arab Emirates (UAE)
Sri Lanka,Bangladesh,Sri Lanka,70 runs,Colombo (SSC),"Apr 1, 2017",Sri Lanka,Balanced,Sri Lanka
U.A.E.,P.N.G.,P.N.G.,26 runs,Abu Dhabi,"Apr 2, 2017",P.N.G.,Bowling,United Arab Emirates (UAE)
U.A.E.,P.N.G.,U.A.E.,103 runs,Abu Dhabi,"Apr 4, 2017",U.A.E.,Bowling,United Arab Emirates (UAE)
West Indies,Pakistan,West Indies,4 wickets,Providence,"Apr 7, 2017",Pakistan,Batting,Guyana
West Indies,Pakistan,Pakistan,74 runs,Providence,"Apr 9, 2017",Pakistan,Batting,Guyana
West Indies,Pakistan,Pakistan,6 wickets,Providence,"Apr 11, 2017",West Indies,Batting,Guyana
England,Ireland,England,7 wickets,Bristol,"May 5, 2017",Ireland,Balanced,England (United Kingdom)
England,Ireland,England,85 runs,Lord's,"May 7, 2017",England,Balanced,England (United Kingdom)
Ireland,Bangladesh,0,-,Dublin (Malahide),"May 12, 2017",Bangladesh,Balanced,Ireland
Ireland,New Zealand,New Zealand,51 runs,Dublin (Malahide),"May 14, 2017",New Zealand,Balanced,Ireland
Bangladesh,New Zealand,New Zealand,4 wickets,Dublin,"May 17, 2017",Bangladesh,Balanced,Ireland
Ireland,Bangladesh,Bangladesh,8 wickets,Dublin (Malahide),"May 19, 2017",Ireland,Balanced,Ireland
Ireland,New Zealand,New Zealand,190 runs,Dublin (Malahide),"May 21, 2017",New Zealand,Balanced,Ireland
Bangladesh,New Zealand,Bangladesh,5 wickets,Dublin,"May 24, 2017",New Zealand,Balanced,Ireland
England,South Africa,England,72 runs,Leeds,"May 24, 2017",England,Balanced,England (United Kingdom)
England,South Africa,England,2 runs,Southampton,"May 27, 2017",England,Balanced,England (United Kingdom)
England,South Africa,South Africa,7 wickets,Lord's,"May 29, 2017",England,Balanced,England (United Kingdom)
England,Bangladesh,England,8 wickets,The Oval,"Jun 1, 2017",Bangladesh,Balanced,England (United Kingdom)
Australia,New Zealand,0,-,Birmingham,"Jun 2, 2017",New Zealand,Balanced,England (United Kingdom)
South Africa,Sri Lanka,South Africa,96 runs,The Oval,"Jun 3, 2017",South Africa,Balanced,England (United Kingdom)
India,Pakistan,India,124 runs,Birmingham,"Jun 4, 2017",India,Balanced,England (United Kingdom)
Australia,Bangladesh,0,-,The Oval,"Jun 5, 2017",Bangladesh,Balanced,England (United Kingdom)
England,New Zealand,England,87 runs,Cardiff,"Jun 6, 2017",England,Balanced,Wales (United Kingdom)
Pakistan,South Africa,Pakistan,19 runs,Birmingham,"Jun 7, 2017",Pakistan,Balanced,England (United Kingdom)
India,Sri Lanka,Sri Lanka,7 wickets,The Oval,"Jun 8, 2017",India,Balanced,England (United Kingdom)
Bangladesh,New Zealand,Bangladesh,5 wickets,Cardiff,"Jun 9, 2017",New Zealand,Balanced,Wales (United Kingdom)
West Indies,Afghanistan,Afghanistan,63 runs,Gros Islet,"Jun 9, 2017",Afghanistan,Batting,Saint Lucia
England,Australia,England,40 runs,Birmingham,"Jun 10, 2017",England,Balanced,England (United Kingdom)
India,South Africa,India,8 wickets,The Oval,"Jun 11, 2017",South Africa,Balanced,England (United Kingdom)
West Indies,Afghanistan,West Indies,4 wickets,Gros Islet,"Jun 11, 2017",Afghanistan,Batting,Saint Lucia
Pakistan,Sri Lanka,Pakistan,3 wickets,Cardiff,"Jun 12, 2017",Sri Lanka,Balanced,Wales (United Kingdom)
England,Pakistan,Pakistan,8 wickets,Cardiff,"Jun 14, 2017",England,Balanced,Wales (United Kingdom)
West Indies,Afghanistan,0,-,Gros Islet,"Jun 14, 2017",Afghanistan,Batting,Saint Lucia
Bangladesh,India,India,9 wickets,Birmingham,"Jun 15, 2017",Bangladesh,Balanced,England (United Kingdom)
Scotland,Zimbabwe,Scotland,26 runs,Edinburgh,"Jun 15, 2017",Scotland,Bowling,Scotland (United Kingdom)
Scotland,Zimbabwe,Zimbabwe,6 wickets,Edinburgh,"Jun 17, 2017",Scotland,Bowling,Scotland (United Kingdom)
India,Pakistan,Pakistan,180 runs,The Oval,"Jun 18, 2017",Pakistan,Balanced,England (United Kingdom)
West Indies,India,0,-,Port of Spain,"Jun 23, 2017",India,Batting,Trinidad and Tobago
West Indies,India,India,105 runs,Port of Spain,"Jun 25, 2017",India,Batting,Trinidad and Tobago
Sri Lanka,Zimbabwe,Zimbabwe,6 wickets,Galle,"Jun 30, 2017",Sri Lanka,Balanced,Sri Lanka
West Indies,India,India,93 runs,North Sound,"Jun 30, 2017",India,Batting,Antigua and Barbuda
Sri Lanka,Zimbabwe,Sri Lanka,7 wickets,Galle,"Jul 2, 2017",Zimbabwe,Balanced,Sri Lanka
West Indies,India,West Indies,11 runs,North Sound,"Jul 2, 2017",West Indies,Batting,Antigua and Barbuda
Sri Lanka,Zimbabwe,Sri Lanka,8 wickets,Hambantota,"Jul 6, 2017",Zimbabwe,Batting,Sri Lanka
West Indies,India,India,8 wickets,Kingston,"Jul 6, 2017",West Indies,Batting,Jamaica
Sri Lanka,Zimbabwe,Zimbabwe,4 wickets,Hambantota,"Jul 8, 2017",Sri Lanka,Batting,Sri Lanka
Sri Lanka,Zimbabwe,Zimbabwe,3 wickets,Hambantota,"Jul 10, 2017",Sri Lanka,Batting,Sri Lanka
Sri Lanka,India,India,9 wickets,Dambulla,"Aug 20, 2017",Sri Lanka,Balanced,Sri Lanka
Sri Lanka,India,India,3 wickets,Pallekele,"Aug 24, 2017",Sri Lanka,Batting,Sri Lanka
Sri Lanka,India,India,6 wickets,Pallekele,"Aug 27, 2017",Sri Lanka,Batting,Sri Lanka
Sri Lanka,India,India,168 runs,Colombo (RPS),"Aug 31, 2017",India,Batting,Sri Lanka
Sri Lanka,India,India,6 wickets,Colombo (RPS),"Sep 3, 2017",Sri Lanka,Batting,Sri Lanka
India,Australia,India,26 runs,Chennai,"Sep 17, 2017",India,Bowling,India
England,West Indies,England,7 wickets,Manchester,"Sep 19, 2017",West Indies,Bowling,England (United Kingdom)
India,Australia,India,50 runs,Eden Gardens,"Sep 21, 2017",India,Balanced,India
England,West Indies,0,-,Nottingham,"Sep 21, 2017",West Indies,Balanced,England (United Kingdom)
India,Australia,India,5 wickets,Indore,"Sep 24, 2017",Australia,Balanced,India
England,West Indies,England,124 runs,Bristol,"Sep 24, 2017",England,Balanced,England (United Kingdom)
England,West Indies,England,6 runs,The Oval,"Sep 27, 2017",England,Balanced,England (United Kingdom)
India,Australia,Australia,21 runs,Bengaluru,"Sep 28, 2017",Australia,Balanced,India
England,West Indies,England,9 wickets,Southampton,"Sep 29, 2017",West Indies,Balanced,England (United Kingdom)
India,Australia,India,7 wickets,Nagpur,"Oct 1, 2017",Australia,Balanced,India
P.N.G.,Scotland,Scotland,101 runs,Port Moresby,"Oct 6, 2017",Scotland,Batting,Papua New Guinea
