Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
New Zealand,India,New Zealand,7 wickets,Christchurch,"Feb 25, 2009",T20I # 84,India,Balanced,New Zealand
New Zealand,India,New Zealand,5 wickets,Wellington,"Feb 27, 2009",T20I # 85,India,Balanced,New Zealand
West Indies,England,West Indies,6 wickets,Port of Spain,"Mar 15, 2009",T20I # 86,England,Batting,Trinidad and Tobago
South Africa,Australia,South Africa,4 wickets,Johannesburg,"Mar 27, 2009",T20I # 87,Australia,Batting,South Africa
South Africa,Australia,South Africa,17 runs,Centurion,"Mar 29, 2009",T20I # 88,South Africa,Batting,South Africa
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),"May 7, 2009",T20I # 89,Australia,Balanced,United Arab Emirates (UAE)
England,Netherlands,Netherlands,4 wickets,Lord's,"Jun 5, 2009",T20I # 90,England,Balanced,England (United Kingdom)
New Zealand,Scotland,New Zealand,7 wickets,The Oval,"Jun 6, 2009",T20I # 91,Scotland,Balanced,England (United Kingdom)
Australia,West Indies,West Indies,7 wickets,The Oval,"Jun 6, 2009",T20I # 92,Australia,Balanced,England (United Kingdom)
Bangladesh,India,India,25 runs,Nottingham,"Jun 6, 2009",T20I # 93,India,Balanced,England (United Kingdom)
Scotland,South Africa,South Africa,130 runs,The Oval,"Jun 7, 2009",T20I # 94,South Africa,Balanced,England (United Kingdom)
England,Pakistan,England,48 runs,The Oval,"Jun 7, 2009",T20I # 95,England,Balanced,England (United Kingdom)
Bangladesh,Ireland,Ireland,6 wickets,Nottingham,"Jun 8, 2009",T20I # 96,Bangladesh,Balanced,England (United Kingdom)
Australia,Sri Lanka,Sri Lanka,6 wickets,Nottingham,"Jun 8, 2009",T20I # 97,Australia,Balanced,England (United Kingdom)
Netherlands,Pakistan,Pakistan,82 runs,Lord's,"Jun 9, 2009",T20I # 98,Pakistan,Balanced,England (United Kingdom)
New Zealand,South Africa,South Africa,1 runs,Lord's,"Jun 9, 2009",T20I # 99,South Africa,Balanced,England (United Kingdom)
Sri Lanka,West Indies,Sri Lanka,15 runs,Nottingham,"Jun 10, 2009",T20I # 100,Sri Lanka,Balanced,England (United Kingdom)
India,Ireland,India,8 wickets,Nottingham,"Jun 10, 2009",T20I # 101,Ireland,Balanced,England (United Kingdom)
Ireland,New Zealand,New Zealand,83 runs,Nottingham,"Jun 11, 2009",T20I # 102,New Zealand,Balanced,England (United Kingdom)
England,South Africa,South Africa,7 wickets,Nottingham,"Jun 11, 2009",T20I # 103,England,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Sri Lanka,19 runs,Lord's,"Jun 12, 2009",T20I # 104,Sri Lanka,Balanced,England (United Kingdom)
India,West Indies,West Indies,7 wickets,Lord's,"Jun 12, 2009",T20I # 105,India,Balanced,England (United Kingdom)
South Africa,West Indies,South Africa,20 runs,The Oval,"Jun 13, 2009",T20I # 106,South Africa,Balanced,England (United Kingdom)
New Zealand,Pakistan,Pakistan,6 wickets,The Oval,"Jun 13, 2009",T20I # 107,New Zealand,Balanced,England (United Kingdom)
Ireland,Sri Lanka,Sri Lanka,9 runs,Lord's,"Jun 14, 2009",T20I # 108,Sri Lanka,Balanced,England (United Kingdom)
England,India,England,3 runs,Lord's,"Jun 14, 2009",T20I # 109,England,Balanced,England (United Kingdom)
Ireland,Pakistan,Pakistan,39 runs,The Oval,"Jun 15, 2009",T20I # 110,Pakistan,Balanced,England (United Kingdom)
England,West Indies,West Indies,5 wickets,The Oval,"Jun 15, 2009",T20I # 111,England,Balanced,England (United Kingdom)
New Zealand,Sri Lanka,Sri Lanka,48 runs,Nottingham,"Jun 16, 2009",T20I # 112,Sri Lanka,Balanced,England (United Kingdom)
India,South Africa,South Africa,12 runs,Nottingham,"Jun 16, 2009",T20I # 113,South Africa,Balanced,England (United Kingdom)
Pakistan,South Africa,Pakistan,7 runs,Nottingham,"Jun 18, 2009",T20I # 114,Pakistan,Balanced,England (United Kingdom)
Sri Lanka,West Indies,Sri Lanka,57 runs,The Oval,"Jun 19, 2009",T20I # 115,Sri Lanka,Balanced,England (United Kingdom)
Pakistan,Sri Lanka,Pakistan,8 wickets,Lord's,"Jun 21, 2009",T20I # 116,Sri Lanka,Balanced,England (United Kingdom)
West Indies,Bangladesh,West Indies,5 wickets,Basseterre,"Aug 2, 2009",T20I # 117,Bangladesh,Batting,Saint Kitts and Nevis
Sri Lanka,Pakistan,Pakistan,52 runs,Colombo (RPS),"Aug 12, 2009",T20I # 118,Pakistan,Batting,Sri Lanka
England,Australia,0,-,Manchester,"Aug 30, 2009",T20I # 119,England,Bowling,England (United Kingdom)
Sri Lanka,New Zealand,New Zealand,3 runs,Colombo (RPS),"Sep 2, 2009",T20I # 120,New Zealand,Batting,Sri Lanka
Sri Lanka,New Zealand,New Zealand,22 runs,Colombo (RPS),"Sep 4, 2009",T20I # 121,New Zealand,Batting,Sri Lanka
New Zealand,Pakistan,Pakistan,49 runs,Dubai (DSC),"Nov 12, 2009",T20I # 122,Pakistan,Balanced,United Arab Emirates (UAE)
New Zealand,Pakistan,Pakistan,7 runs,Dubai (DSC),"Nov 13, 2009",T20I # 123,Pakistan,Balanced,United Arab Emirates (UAE)
South Africa,England,England,1 runs,Johannesburg,"Nov 13, 2009",T20I # 124,England,Batting,South Africa
South Africa,England,South Africa,84 runs,Centurion,"Nov 15, 2009",T20I # 125,South Africa,Batting,South Africa
India,Sri Lanka,Sri Lanka,29 runs,Nagpur,"Dec 9, 2009",T20I # 126,Sri Lanka,Balanced,India
India,Sri Lanka,India,6 wickets,Mohali,"Dec 12, 2009",T20I # 127,Sri Lanka,Batting,India
Afghanistan,Ireland,Ireland,5 wickets,Colombo (PSS),"Feb 1, 2010",T20I # 128,Afghanistan,Balanced,Sri Lanka
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 1, 2010",T20I # 129,Scotland,Balanced,Kenya
Canada,Ireland,Canada,4 runs,Colombo (SSC),"Feb 3, 2010",T20I # 130,Canada,Balanced,Sri Lanka
New Zealand,Bangladesh,New Zealand,10 wickets,Hamilton,"Feb 3, 2010",T20I # 131,Bangladesh,Balanced,New Zealand
Afghanistan,Canada,Afghanistan,5 wickets,Colombo (SSC),"Feb 4, 2010",T20I # 132,Canada,Balanced,Sri Lanka
Kenya,Scotland,Kenya,10 wickets,Nairobi (Gym),"Feb 4, 2010",T20I # 133,Scotland,Balanced,Kenya
Australia,Pakistan,Australia,2 runs,Melbourne,"Feb 5, 2010",T20I # 134,Australia,Balanced,Australia
Afghanistan,Ireland,Afghanistan,13 runs,Dubai (DSC),"Feb 9, 2010",T20I # 135,Afghanistan,Balanced,United Arab Emirates (UAE)
Canada,Netherlands,Netherlands,6 wickets,Dubai (DSC),"Feb 9, 2010",T20I # 136,Canada,Balanced,United Arab Emirates (UAE)
Afghanistan,Scotland,Afghanistan,14 runs,Abu Dhabi,"Feb 10, 2010",T20I # 137,Afghanistan,Bowling,United Arab Emirates (UAE)
Canada,Kenya,Kenya,9 wickets,Dubai (DSC),"Feb 10, 2010",T20I # 138,Canada,Balanced,United Arab Emirates (UAE)
Kenya,Netherlands,Netherlands,7 wickets,Abu Dhabi,"Feb 11, 2010",T20I # 139,Kenya,Bowling,United Arab Emirates (UAE)
Ireland,Scotland,Ireland,37 runs,Dubai (DSC),"Feb 11, 2010",T20I # 140,Ireland,Balanced,United Arab Emirates (UAE)
Afghanistan,Netherlands,Netherlands,4 wickets,Dubai (DSC),"Feb 12, 2010",T20I # 141,Afghanistan,Balanced,United Arab Emirates (UAE)
Ireland,Netherlands,Ireland,65 runs,Dubai (DSC),"Feb 13, 2010",T20I # 142,Ireland,Balanced,United Arab Emirates (UAE)
Afghanistan,Ireland,Afghanistan,8 wickets,Dubai (DSC),"Feb 13, 2010",T20I # 143,Ireland,Balanced,United Arab Emirates (UAE)
England,Pakistan,England,7 wickets,Dubai (DSC),"Feb 19, 2010",T20I # 144,Pakistan,Balanced,United Arab Emirates (UAE)
England,Pakistan,Pakistan,4 wickets,Dubai (DSC),"Feb 20, 2010",T20I # 145,England,Balanced,United Arab Emirates (UAE)
Australia,West Indies,Australia,38 runs,Hobart,"Feb 21, 2010",T20I # 146,Australia,Balanced,Australia
Australia,West Indies,Australia,8 wickets,Sydney,"Feb 23, 2010",T20I # 147,West Indies,Balanced,Australia
New Zealand,Australia,Australia,6 wickets,Wellington,"Feb 26, 2010",T20I # 148,New Zealand,Balanced,New Zealand
New Zealand,Australia,0,-,Christchurch,"Feb 28, 2010",T20I # 149,New Zealand,Balanced,New Zealand
West Indies,Zimbabwe,Zimbabwe,26 runs,Port of Spain,"Feb 28, 2010",T20I # 150,Zimbabwe,Batting,Trinidad and Tobago
New Zealand,Sri Lanka,New Zealand,2 wickets,Providence,"Apr 30, 2010",T20I # 151,Sri Lanka,Batting,Guyana
West Indies,Ireland,West Indies,70 runs,Providence,"Apr 30, 2010",T20I # 152,West Indies,Batting,Guyana
Afghanistan,India,India,7 wickets,Gros Islet,"May 1, 2010",T20I # 153,Afghanistan,Batting,Saint Lucia
Bangladesh,Pakistan,Pakistan,21 runs,Gros Islet,"May 1, 2010",T20I # 154,Pakistan,Batting,Saint Lucia
India,South Africa,India,14 runs,Gros Islet,"May 2, 2010",T20I # 155,India,Batting,Saint Lucia
Australia,Pakistan,Australia,34 runs,Gros Islet,"May 2, 2010",T20I # 156,Australia,Batting,Saint Lucia
Sri Lanka,Zimbabwe,Sri Lanka,14 runs,Providence,"May 3, 2010",T20I # 157,Sri Lanka,Batting,Guyana
West Indies,England,West Indies,8 wickets,Providence,"May 3, 2010",T20I # 158,England,Batting,Guyana
New Zealand,Zimbabwe,New Zealand,7 runs,Providence,"May 4, 2010",T20I # 159,New Zealand,Batting,Guyana
England,Ireland,0,-,Providence,"May 4, 2010",T20I # 160,England,Batting,Guyana
Australia,Bangladesh,Australia,27 runs,Bridgetown,"May 5, 2010",T20I # 161,Australia,Balanced,Barbados
Afghanistan,South Africa,South Africa,59 runs,Bridgetown,"May 5, 2010",T20I # 162,South Africa,Balanced,Barbados
England,Pakistan,England,6 wickets,Bridgetown,"May 6, 2010",T20I # 163,Pakistan,Balanced,Barbados
New Zealand,South Africa,South Africa,13 runs,Bridgetown,"May 6, 2010",T20I # 164,South Africa,Balanced,Barbados
Australia,India,Australia,49 runs,Bridgetown,"May 7, 2010",T20I # 165,Australia,Balanced,Barbados
West Indies,Sri Lanka,Sri Lanka,57 runs,Bridgetown,"May 7, 2010",T20I # 166,Sri Lanka,Balanced,Barbados
New Zealand,Pakistan,New Zealand,1 runs,Bridgetown,"May 8, 2010",T20I # 167,New Zealand,Balanced,Barbados
England,South Africa,England,39 runs,Bridgetown,"May 8, 2010",T20I # 168,England,Balanced,Barbados
West Indies,India,West Indies,14 runs,Bridgetown,"May 9, 2010",T20I # 169,West Indies,Balanced,Barbados
Australia,Sri Lanka,Australia,81 runs,Bridgetown,"May 9, 2010",T20I # 170,Australia,Balanced,Barbados
Pakistan,South Africa,Pakistan,11 runs,Gros Islet,"May 10, 2010",T20I # 171,Pakistan,Batting,Saint Lucia
England,New Zealand,England,3 wickets,Gros Islet,"May 10, 2010",T20I # 172,New Zealand,Batting,Saint Lucia
India,Sri Lanka,Sri Lanka,5 wickets,Gros Islet,"May 11, 2010",T20I # 173,India,Batting,Saint Lucia
West Indies,Australia,Australia,6 wickets,Gros Islet,"May 11, 2010",T20I # 174,West Indies,Batting,Saint Lucia
England,Sri Lanka,England,7 wickets,Gros Islet,"May 13, 2010",T20I # 175,Sri Lanka,Batting,Saint Lucia
Australia,Pakistan,Australia,3 wickets,Gros Islet,"May 14, 2010",T20I # 176,Pakistan,Batting,Saint Lucia
Australia,England,England,7 wickets,Bridgetown,"May 16, 2010",T20I # 177,Australia,Balanced,Barbados
West Indies,South Africa,South Africa,13 runs,North Sound,"May 19, 2010",T20I # 178,South Africa,Batting,Antigua and Barbuda
West Indies,South Africa,South Africa,1 runs,North Sound,"May 20, 2010",T20I # 179,South Africa,Batting,Antigua and Barbuda
New Zealand,Sri Lanka,New Zealand,28 runs,Lauderhill,"May 22, 2010",T20I # 180,New Zealand,Batting,United States (Florida)
New Zealand,Sri Lanka,Sri Lanka,7 wickets,Lauderhill,"May 23, 2010",T20I # 181,New Zealand,Batting,United States (Florida)
Zimbabwe,India,India,6 wickets,Harare,"Jun 12, 2010",T20I # 182,Zimbabwe,Balanced,Zimbabwe
Zimbabwe,India,India,7 wickets,Harare,"Jun 13, 2010",T20I # 183,Zimbabwe,Balanced,Zimbabwe
Australia,Pakistan,Pakistan,23 runs,Birmingham,"Jul 5, 2010",T20I # 184,Pakistan,Balanced,England (United Kingdom)
Australia,Pakistan,Pakistan,11 runs,Birmingham,"Jul 6, 2010",T20I # 185,Pakistan,Balanced,England (United Kingdom)
England,Pakistan,England,5 wickets,Cardiff,"Sep 5, 2010",T20I # 186,Pakistan,Balanced,Wales (United Kingdom)
England,Pakistan,England,6 wickets,Cardiff,"Sep 7, 2010",T20I # 187,Pakistan,Balanced,Wales (United Kingdom)
South Africa,Zimbabwe,South Africa,7 wickets,Bloemfontein,"Oct 8, 2010",T20I # 188,Zimbabwe,Batting,South Africa
South Africa,Zimbabwe,South Africa,8 runs,Kimberley,"Oct 10, 2010",T20I # 189,South Africa,Batting,South Africa
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,"Oct 26, 2010",T20I # 190,Pakistan,Bowling,United Arab Emirates (UAE)
Pakistan,South Africa,South Africa,6 wickets,Abu Dhabi,"Oct 27, 2010",T20I # 191,Pakistan,Bowling,United Arab Emirates (UAE)
Australia,Sri Lanka,Sri Lanka,7 wickets,Perth,"Oct 31, 2010",T20I # 192,Australia,Balanced,Australia
New Zealand,Pakistan,New Zealand,5 wickets,Auckland,"Dec 26, 2010",T20I # 193,Pakistan,Batting,New Zealand
New Zealand,Pakistan,New Zealand,39 runs,Hamilton,"Dec 28, 2010",T20I # 194,New Zealand,Balanced,New Zealand
New Zealand,Pakistan,Pakistan,103 runs,Christchurch,"Dec 30, 2010",T20I # 195,Pakistan,Balanced,New Zealand
South Africa,India,India,21 runs,Durban,"Jan 9, 2011",T20I # 196,India,Batting,South Africa
Australia,England,England,1 wickets,Adelaide,"Jan 12, 2011",T20I # 197,Australia,Balanced,Australia
Australia,England,Australia,4 runs,Melbourne,"Jan 14, 2011",T20I # 198,Australia,Balanced,Australia
West Indies,Pakistan,West Indies,7 runs,Gros Islet,"Apr 21, 2011",T20I # 199,West Indies,Batting,Saint Lucia
West Indies,India,India,16 runs,Port of Spain,"Jun 4, 2011",T20I # 200,India,Batting,Trinidad and Tobago
England,Sri Lanka,Sri Lanka,9 wickets,Bristol,"Jun 25, 2011",T20I # 201,England,Balanced,England (United Kingdom)
Sri Lanka,Australia,Sri Lanka,35 runs,Pallekele,"Aug 6, 2011",T20I # 202,Sri Lanka,Batting,Sri Lanka
Sri Lanka,Australia,Sri Lanka,8 runs,Pallekele,"Aug 8, 2011",T20I # 203,Sri Lanka,Batting,Sri Lanka
England,India,England,6 wickets,Manchester,"Aug 31, 2011",T20I # 204,India,Bowling,England (United Kingdom)
Zimbabwe,Pakistan,Pakistan,85 runs,Harare,"Sep 16, 2011",T20I # 205,Pakistan,Balanced,Zimbabwe
Zimbabwe,Pakistan,Pakistan,5 runs,Harare,"Sep 18, 2011",T20I # 206,Pakistan,Balanced,Zimbabwe
England,West Indies,England,10 wickets,The Oval,"Sep 23, 2011",T20I # 207,West Indies,Balanced,England (United Kingdom)
England,West Indies,West Indies,25 runs,The Oval,"Sep 25, 2011",T20I # 208,West Indies,Balanced,England (United Kingdom)
Bangladesh,West Indies,Bangladesh,3 wickets,Mirpur,"Oct 11, 2011",T20I # 209,West Indies,Batting,Bangladesh
South Africa,Australia,Australia,5 wickets,Cape Town,"Oct 13, 2011",T20I # 210,South Africa,Bowling,South Africa
Zimbabwe,New Zealand,New Zealand,10 wickets,Harare,"Oct 15, 2011",T20I # 211,Zimbabwe,Balanced,Zimbabwe
South Africa,Australia,South Africa,3 wickets,Johannesburg,"Oct 16, 2011",T20I # 212,Australia,Batting,South Africa
Zimbabwe,New Zealand,New Zealand,34 runs,Harare,"Oct 17, 2011",T20I # 213,New Zealand,Balanced,Zimbabwe
India,England,England,6 wickets,Eden Gardens,"Oct 29, 2011",T20I # 214,India,Balanced,India
Pakistan,Sri Lanka,Pakistan,5 wickets,Abu Dhabi,"Nov 25, 2011",T20I # 215,Sri Lanka,Bowling,United Arab Emirates (UAE)
Bangladesh,Pakistan,Pakistan,50 runs,Mirpur,"Nov 29, 2011",T20I # 216,Pakistan,Batting,Bangladesh
Australia,India,Australia,31 runs,Sydney,"Feb 1, 2012",T20I # 217,Australia,Balanced,Australia
Australia,India,India,8 wickets,Melbourne,"Feb 3, 2012",T20I # 218,Australia,Balanced,Australia
New Zealand,Zimbabwe,New Zealand,7 wickets,Auckland,"Feb 11, 2012",T20I # 219,Zimbabwe,Batting,New Zealand
New Zealand,Zimbabwe,New Zealand,5 wickets,Hamilton,"Feb 14, 2012",T20I # 220,Zimbabwe,Balanced,New Zealand
New Zealand,South Africa,New Zealand,6 wickets,Wellington,"Feb 17, 2012",T20I # 221,South Africa,Balanced,New Zealand
New Zealand,South Africa,South Africa,8 wickets,Hamilton,"Feb 19, 2012",T20I # 222,New Zealand,Balanced,New Zealand
New Zealand,South Africa,South Africa,3 runs,Auckland,"Feb 22, 2012",T20I # 223,South Africa,Batting,New Zealand
Kenya,Ireland,Ireland,6 wickets,Mombasa,"Feb 22, 2012",T20I # 224,Kenya,Balanced,Kenya
Kenya,Ireland,Ireland,8 wickets,Mombasa,"Feb 23, 2012",T20I # 225,Kenya,Balanced,Kenya
England,Pakistan,Pakistan,8 runs,Dubai (DSC),"Feb 23, 2012",T20I # 226,Pakistan,Balanced,United Arab Emirates (UAE)
Kenya,Ireland,Ireland,2 runs,Mombasa,"Feb 24, 2012",T20I # 227,Ireland,Balanced,Kenya
England,Pakistan,England,38 runs,Dubai (DSC),"Feb 25, 2012",T20I # 228,England,Balanced,United Arab Emirates (UAE)
England,Pakistan,England,5 runs,Abu Dhabi,"Feb 27, 2012",T20I # 229,England,Bowling,United Arab Emirates (UAE)
Canada,Netherlands,Netherlands,42 runs,Dubai (DSC),"Mar 13, 2012",T20I # 230,Netherlands,Balanced,United Arab Emirates (UAE)
Kenya,Scotland,Scotland,14 runs,ICCA Dubai,"Mar 13, 2012",T20I # 231,Scotland,Balanced,United Arab Emirates (UAE)
Ireland,Kenya,Ireland,10 wickets,Dubai (DSC),"Mar 14, 2012",T20I # 232,Kenya,Balanced,United Arab Emirates (UAE)
Afghanistan,Netherlands,Afghanistan,4 wickets,Dubai (DSC),"Mar 14, 2012",T20I # 233,Netherlands,Balanced,United Arab Emirates (UAE)
Afghanistan,Canada,Afghanistan,41 runs,ICCA Dubai,"Mar 18, 2012",T20I # 234,Afghanistan,Balanced,United Arab Emirates (UAE)
Ireland,Scotland,Ireland,17 runs,Dubai (DSC),"Mar 18, 2012",T20I # 235,Ireland,Balanced,United Arab Emirates (UAE)
Canada,Ireland,Ireland,10 wickets,Dubai (DSC),"Mar 22, 2012",T20I # 236,Canada,Balanced,United Arab Emirates (UAE)
Netherlands,Scotland,Netherlands,3 wickets,ICCA Dubai,"Mar 22, 2012",T20I # 237,Scotland,Balanced,United Arab Emirates (UAE)
Ireland,Netherlands,Ireland,7 wickets,Dubai (DSC),"Mar 23, 2012",T20I # 238,Netherlands,Balanced,United Arab Emirates (UAE)
Canada,Scotland,Scotland,4 wickets,Dubai (DSC),"Mar 23, 2012",T20I # 239,Canada,Balanced,United Arab Emirates (UAE)
Afghanistan,Ireland,Ireland,5 wickets,Dubai (DSC),"Mar 24, 2012",T20I # 240,Afghanistan,Balanced,United Arab Emirates (UAE)
West Indies,Australia,Australia,8 wickets,Gros Islet,"Mar 27, 2012",T20I # 241,West Indies,Batting,Saint Lucia
South Africa,India,South Africa,11 runs,Johannesburg,"Mar 30, 2012",T20I # 242,South Africa,Batting,South Africa
West Indies,Australia,West Indies,14 runs,Bridgetown,"Mar 30, 2012",T20I # 243,West Indies,Balanced,Barbados
Sri Lanka,Pakistan,Sri Lanka,37 runs,Hambantota,"Jun 1, 2012",T20I # 244,Sri Lanka,Batting,Sri Lanka
Sri Lanka,Pakistan,Pakistan,23 runs,Hambantota,"Jun 3, 2012",T20I # 245,Pakistan,Batting,Sri Lanka
England,West Indies,England,7 wickets,Nottingham,"Jun 24, 2012",T20I # 246,West Indies,Balanced,England (United Kingdom)
New Zealand,West Indies,West Indies,56 runs,Lauderhill,"Jun 30, 2012",T20I # 247,West Indies,Batting,United States (Florida)
New Zealand,West Indies,West Indies,61 runs,Lauderhill,"Jul 1, 2012",T20I # 248,West Indies,Batting,United States (Florida)
Ireland,Bangladesh,Bangladesh,71 runs,Belfast,"Jul 18, 2012",T20I # 249,Bangladesh,Balanced,Northern Ireland (United Kingdom)
Ireland,Bangladesh,Bangladesh,1 runs,Belfast,"Jul 20, 2012",T20I # 250,Bangladesh,Balanced,Northern Ireland (United Kingdom)
Ireland,Bangladesh,Bangladesh,2 wickets,Belfast,"Jul 21, 2012",T20I # 251,Ireland,Balanced,Northern Ireland (United Kingdom)
Bangladesh,Scotland,Scotland,34 runs,The Hague,"Jul 24, 2012",T20I # 252,Scotland,Balanced,Netherlands
Netherlands,Bangladesh,Bangladesh,8 wickets,The Hague,"Jul 25, 2012",T20I # 253,Netherlands,Balanced,Netherlands
Netherlands,Bangladesh,Netherlands,1 wickets,The Hague,"Jul 26, 2012",T20I # 254,Bangladesh,Balanced,Netherlands
Sri Lanka,India,India,39 runs,Pallekele,"Aug 7, 2012",T20I # 255,India,Batting,Sri Lanka
Australia,Pakistan,Pakistan,7 wickets,Dubai (DSC),"Sep 5, 2012",T20I # 256,Australia,Balanced,United Arab Emirates (UAE)
Australia,Pakistan,0,-,Dubai (DSC),"Sep 7, 2012",T20I # 257,Australia,Balanced,United Arab Emirates (UAE)
England,South Africa,South Africa,7 wickets,Chester-le-Street,"Sep 8, 2012",T20I # 258,England,Balanced,England (United Kingdom)
Australia,Pakistan,Australia,94 runs,Dubai (DSC),"Sep 10, 2012",T20I # 259,Australia,Balanced,United Arab Emirates (UAE)
England,South Africa,0,-,Manchester,"Sep 10, 2012",T20I # 260,England,Bowling,England (United Kingdom)
India,New Zealand,New Zealand,1 runs,Chennai,"Sep 11, 2012",T20I # 261,New Zealand,Bowling,India
England,South Africa,England,28 runs,Birmingham,"Sep 12, 2012",T20I # 262,England,Balanced,England (United Kingdom)
Sri Lanka,Zimbabwe,Sri Lanka,82 runs,Hambantota,"Sep 18, 2012",T20I # 263,Sri Lanka,Batting,Sri Lanka
Australia,Ireland,Australia,7 wickets,Colombo (RPS),"Sep 19, 2012",T20I # 264,Ireland,Batting,Sri Lanka
Afghanistan,India,India,23 runs,Colombo (RPS),"Sep 19, 2012",T20I # 265,India,Batting,Sri Lanka
South Africa,Zimbabwe,South Africa,10 wickets,Hambantota,"Sep 20, 2012",T20I # 266,Zimbabwe,Batting,Sri Lanka
Bangladesh,New Zealand,New Zealand,59 runs,Pallekele,"Sep 21, 2012",T20I # 267,New Zealand,Batting,Sri Lanka
Afghanistan,England,England,116 runs,Colombo (RPS),"Sep 21, 2012",T20I # 268,England,Batting,Sri Lanka
Sri Lanka,South Africa,South Africa,32 runs,Hambantota,"Sep 22, 2012",T20I # 269,South Africa,Batting,Sri Lanka
Australia,West Indies,Australia,17 runs,Colombo (RPS),"Sep 22, 2012",T20I # 270,Australia,Batting,Sri Lanka
New Zealand,Pakistan,Pakistan,13 runs,Pallekele,"Sep 23, 2012",T20I # 271,Pakistan,Batting,Sri Lanka
England,India,India,90 runs,Colombo (RPS),"Sep 23, 2012",T20I # 272,India,Batting,Sri Lanka
Ireland,West Indies,0,-,Colombo (RPS),"Sep 24, 2012",T20I # 273,Ireland,Batting,Sri Lanka
Bangladesh,Pakistan,Pakistan,8 wickets,Pallekele,"Sep 25, 2012",T20I # 274,Bangladesh,Batting,Sri Lanka
Sri Lanka,New Zealand,0,-,Pallekele,"Sep 27, 2012",T20I # 275,Sri Lanka,Batting,Sri Lanka
England,West Indies,West Indies,15 runs,Pallekele,"Sep 27, 2012",T20I # 276,West Indies,Batting,Sri Lanka
Pakistan,South Africa,Pakistan,2 wickets,Colombo (RPS),"Sep 28, 2012",T20I # 277,South Africa,Batting,Sri Lanka
Australia,India,Australia,9 wickets,Colombo (RPS),"Sep 28, 2012",T20I # 278,India,Batting,Sri Lanka
England,New Zealand,England,6 wickets,Pallekele,"Sep 29, 2012",T20I # 279,New Zealand,Batting,Sri Lanka
Sri Lanka,West Indies,Sri Lanka,9 wickets,Pallekele,"Sep 29, 2012",T20I # 280,West Indies,Batting,Sri Lanka
Australia,South Africa,Australia,8 wickets,Colombo (RPS),"Sep 30, 2012",T20I # 281,South Africa,Batting,Sri Lanka
India,Pakistan,India,8 wickets,Colombo (RPS),"Sep 30, 2012",T20I # 282,Pakistan,Batting,Sri Lanka
New Zealand,West Indies,0,-,Pallekele,"Oct 1, 2012",T20I # 283,New Zealand,Batting,Sri Lanka
Sri Lanka,England,Sri Lanka,19 runs,Pallekele,"Oct 1, 2012",T20I # 284,Sri Lanka,Batting,Sri Lanka
Australia,Pakistan,Pakistan,32 runs,Colombo (RPS),"Oct 2, 2012",T20I # 285,Pakistan,Batting,Sri Lanka
India,South Africa,India,1 runs,Colombo (RPS),"Oct 2, 2012",T20I # 286,India,Batting,Sri Lanka
Sri Lanka,Pakistan,Sri Lanka,16 runs,Colombo (RPS),"Oct 4, 2012",T20I # 287,Sri Lanka,Batting,Sri Lanka
Australia,West Indies,West Indies,74 runs,Colombo (RPS),"Oct 5, 2012",T20I # 288,West Indies,Batting,Sri Lanka
Sri Lanka,West Indies,West Indies,36 runs,Colombo (RPS),"Oct 7, 2012",T20I # 289,West Indies,Batting,Sri Lanka
Sri Lanka,New Zealand,0,-,Pallekele,"Oct 30, 2012",T20I # 290,Sri Lanka,Batting,Sri Lanka
