Team 1,Team 2,Winner,Margin,Ground,Match Date,match_id,Bat first,Pitch Advantage ,Home Advantage
Australia,Pakistan,Pakistan,6 wickets,Johannesburg,"Sep 18, 2007",T20I # 37,Australia,Batting,South Africa
Bangladesh,Sri Lanka,Sri Lanka,64 runs,Johannesburg,"Sep 18, 2007",T20I # 38,Sri Lanka,Batting,South Africa
South Africa,New Zealand,South Africa,6 wickets,Durban,"Sep 19, 2007",T20I # 39,New Zealand,Batting,South Africa
England,India,India,18 runs,Durban,"Sep 19, 2007",T20I # 40,India,Batting,South Africa
Australia,Sri Lanka,Australia,10 wickets,Cape Town,"Sep 20, 2007",T20I # 41,Sri Lanka,Bowling,South Africa
Bangladesh,Pakistan,Pakistan,4 wickets,Cape Town,"Sep 20, 2007",T20I # 42,Bangladesh,Bowling,South Africa
South Africa,India,India,37 runs,Durban,"Sep 20, 2007",T20I # 43,India,Batting,South Africa
New Zealand,Pakistan,Pakistan,6 wickets,Cape Town,"Sep 22, 2007",T20I # 44,New Zealand,Bowling,South Africa
Australia,India,India,15 runs,Durban,"Sep 22, 2007",T20I # 45,India,Batting,South Africa
India,Pakistan,India,5 runs,Johannesburg,"Sep 24, 2007",T20I # 46,India,Batting,South Africa
India,Australia,India,7 wickets,Brabourne,"Oct 20, 2007",T20I # 47,Australia,Balanced,India
South Africa,New Zealand,South Africa,3 wickets,Johannesburg,"Nov 23, 2007",T20I # 48,New Zealand,Batting,South Africa
Australia,New Zealand,Australia,54 runs,Perth,"Dec 11, 2007",T20I # 49,Australia,Balanced,Australia
South Africa,West Indies,West Indies,5 wickets,Gqeberha,"Dec 16, 2007",T20I # 50,South Africa,Balanced,South Africa
South Africa,West Indies,South Africa,4 wickets,Johannesburg,"Jan 18, 2008",T20I # 51,West Indies,Batting,South Africa
Australia,India,Australia,9 wickets,Melbourne,"Feb 1, 2008",T20I # 52,India,Balanced,Australia
New Zealand,England,England,32 runs,Auckland,"Feb 5, 2008",T20I # 53,England,Batting,New Zealand
New Zealand,England,England,50 runs,Christchurch,"Feb 7, 2008",T20I # 54,England,Balanced,New Zealand
Pakistan,Bangladesh,Pakistan,102 runs,Karachi,"Apr 20, 2008",T20I # 55,Pakistan,Batting,Pakistan
England,New Zealand,England,9 wickets,Manchester,"Jun 13, 2008",T20I # 56,New Zealand,Bowling,England (United Kingdom)
West Indies,Australia,West Indies,7 wickets,Bridgetown,"Jun 20, 2008",T20I # 57,Australia,Balanced,Barbados
Kenya,Netherlands,Netherlands,19 runs,Belfast,"Aug 2, 2008",T20I # 58,Netherlands,Balanced,Northern Ireland (United Kingdom)
Ireland,Scotland,Ireland,4 wickets,Belfast,"Aug 2, 2008",T20I # 59,Scotland,Balanced,Northern Ireland (United Kingdom)
Canada,Netherlands,Canada,4 wickets,Belfast,"Aug 2, 2008",T20I # 60,Netherlands,Balanced,Northern Ireland (United Kingdom)
Bermuda,Scotland,Scotland,8 wickets,Belfast,"Aug 3, 2008",T20I # 61,Bermuda,Balanced,Northern Ireland (United Kingdom)
Canada,Kenya,Kenya,4 wickets,Belfast,"Aug 3, 2008",T20I # 62,Canada,Balanced,Northern Ireland (United Kingdom)
Ireland,Bermuda,Ireland,4 runs,Belfast,"Aug 3, 2008",T20I # 63,Ireland,Balanced,Northern Ireland (United Kingdom)
Ireland,Kenya,Ireland,4 wickets,Belfast,"Aug 4, 2008",T20I # 64,Kenya,Balanced,Northern Ireland (United Kingdom)
Netherlands,Scotland,Netherlands,5 wickets,Belfast,"Aug 4, 2008",T20I # 65,Scotland,Balanced,Northern Ireland (United Kingdom)
Kenya,Scotland,Scotland,9 wickets,Belfast,"Aug 4, 2008",T20I # 66,Kenya,Balanced,Northern Ireland (United Kingdom)
Bermuda,Canada,Canada,8 wickets,Belfast,"Aug 5, 2008",T20I # 67,Bermuda,Balanced,Northern Ireland (United Kingdom)
Ireland,Netherlands,0,-,Belfast,"Aug 5, 2008",T20I # 68,Ireland,Balanced,Northern Ireland (United Kingdom)
Sri Lanka,Zimbabwe,Sri Lanka,5 wickets,King City (NW),"Oct 10, 2008",T20I # 69,Zimbabwe,Batting,Canada
Canada,Pakistan,Pakistan,35 runs,King City (NW),"Oct 10, 2008",T20I # 70,Pakistan,Batting,Canada
Canada,Zimbabwe,0,-,King City (NW),"Oct 11, 2008",T20I # 71,Canada,Batting,Canada
Pakistan,Sri Lanka,Pakistan,3 wickets,King City (NW),"Oct 11, 2008",T20I # 72,Sri Lanka,Batting,Canada
Pakistan,Zimbabwe,Pakistan,7 wickets,King City (NW),"Oct 12, 2008",T20I # 73,Zimbabwe,Batting,Canada
Canada,Sri Lanka,Sri Lanka,15 runs,King City (NW),"Oct 12, 2008",T20I # 74,Sri Lanka,Batting,Canada
Canada,Zimbabwe,Zimbabwe,109 runs,King City (NW),"Oct 13, 2008",T20I # 75,Zimbabwe,Batting,Canada
Pakistan,Sri Lanka,Sri Lanka,5 wickets,King City (NW),"Oct 13, 2008",T20I # 76,Pakistan,Batting,Canada
South Africa,Bangladesh,South Africa,12 runs,Johannesburg,"Nov 5, 2008",T20I # 77,South Africa,Batting,South Africa
New Zealand,West Indies,0,-,Auckland,"Dec 26, 2008",T20I # 78,New Zealand,Batting,New Zealand
New Zealand,West Indies,New Zealand,36 runs,Hamilton,"Dec 28, 2008",T20I # 79,New Zealand,Balanced,New Zealand
Australia,South Africa,Australia,52 runs,Melbourne,"Jan 11, 2009",T20I # 80,Australia,Balanced,Australia
Australia,South Africa,Australia,6 wickets,Brisbane,"Jan 13, 2009",T20I # 81,South Africa,Batting,Australia
Sri Lanka,India,India,3 wickets,Colombo (RPS),"Feb 10, 2009",T20I # 82,Sri Lanka,Batting,Sri Lanka
Australia,New Zealand,Australia,1 runs,Sydney,"Feb 15, 2009",T20I # 83,Australia,Balanced,Australia
